C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:56:05-07 16:53:58.996 I/InputDispatcher(30245): Delivering key to (24886): B action: 0x0 (0), f=0x0, m=0x0, d=0, 'bdbcb84'
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:65:05-07 16:53:58.998 I/VRI[MainActivity]@ffbdb0(24886): ViewPostIme key 0
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:66:05-07 16:53:58.998 D/Activity(24886): onKeyDown(KEYCODE_BACK), activity=dev.antigravity.classevivaexpressive.MainActivity@6cff232
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:73:05-07 16:53:58.998 I/InputDispatcher(30245): Delivering key to (24886): B action: 0x1 (0), f=0x0, m=0x0, d=0, 'bdbcb84'
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:76:05-07 16:53:58.998 I/VRI[MainActivity]@ffbdb0(24886): ViewPostIme key 1
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:77:05-07 16:53:58.998 D/Activity(24886): onKeyUp(KEYCODE_BACK) isTracking()=true isCanceled()=true hasCallback=true
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:81:05-07 16:53:59.028 I/View    (24886): setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{e4a0cfc VFED..... ......ID 0,0-1080,2340 aid=1073741824}, caller=android.view.ViewGroup.setRequestedFrameRate:10045 androidx.compose.ui.platform.Api35Impl.setRequestedFrameRate:4033 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:2248 android.view.View.draw:26758 android.view.View.updateDisplayListIfDirty:25577 
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:82:05-07 16:53:59.028 I/View    (24886): setRequestedFrameRate frameRate=-4.0, this=android.view.View{ee80cdd V.ED..... ........ 0,0-0,0}, caller=androidx.compose.ui.platform.Api35Impl.setRequestedFrameRate:4033 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:2251 android.view.View.draw:26758 android.view.View.updateDisplayListIfDirty:25577 android.view.ViewGroup.recreateChildDisplayList:4881 
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:84:05-07 16:53:59.032 I/View    (24886): setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{e4a0cfc VFED..... ......ID 0,0-1080,2340 aid=1073741824}, caller=android.view.ViewGroup.setRequestedFrameRate:10045 androidx.compose.ui.platform.Api35Impl.setRequestedFrameRate:4033 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:2248 android.view.View.draw:26758 android.view.View.updateDisplayListIfDirty:25577 
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:85:05-07 16:53:59.032 I/View    (24886): setRequestedFrameRate frameRate=-4.0, this=android.view.View{ee80cdd V.ED..... ........ 0,0-0,0}, caller=androidx.compose.ui.platform.Api35Impl.setRequestedFrameRate:4033 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:2251 android.view.View.draw:26758 android.view.View.updateDisplayListIfDirty:25577 android.view.ViewGroup.recreateChildDisplayList:4881 
C:\VibeCoded Projects\classeviva-expressive\qa-fix-clean-logcat.txt:105:05-07 16:53:59.039 I/View    (24886): setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{e4a0cfc VFED..... ......ID 0,0-1080,2340 aid=1073741824}, caller=android.view.ViewGroup.setRequestedFrameRate:10045 androidx.compose.ui.platform.Api35Impl.setRequestedFrameRate:4033 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:2248 android.view.View.draw:26758 android.view.View.updateDisplayListIfDirty:25577 
